"PingView Monitoring","PingView Monitoring"
"View PingView status","Podgląd statusu PingView"
"Connect and disconnect PingView","Podłączanie i odłączanie PingView"
"External uptime monitoring","Zewnętrzny monitoring dostępności"
"Start monitoring this store","Zacznij monitorować ten sklep"
"PingView checks your storefront from outside your server. No monitoring jobs run on customer requests.","PingView sprawdza Twój sklep spoza Twojego serwera. Żadne zadania monitorujące nie działają na żądaniach klientów."
"Where should we send alerts?","Gdzie mamy wysyłać powiadomienia?"
"Send my email address, store name and domain to PingView to create external monitoring for","Wyślij mój adres e-mail, nazwę sklepu i domenę do PingView, aby utworzyć zewnętrzny monitoring dla"
"I agree to the","Akceptuję"
"Terms","Regulamin"
"and acknowledge the","i zapoznałem się z"
"Privacy Policy","Polityką prywatności"
"Start free monitoring","Uruchom darmowy monitoring"
"Already use PingView? Connect an API key","Masz już PingView? Podłącz klucz API"
"API key","Klucz API"
"Connect","Podłącz"
"Ask an administrator with PingView manage permission to connect this store.","Poproś administratora z uprawnieniem do zarządzania PingView o podłączenie tego sklepu."
"External checks","Sprawdzenia z zewnątrz"
"Independent of this Magento server","Niezależne od tego serwera Magento"
"Actionable alerts","Konkretne powiadomienia"
"Email, Slack and webhook channels","Kanały e-mail, Slack i webhook"
"Storefront risks","Ryzyka sklepu"
"SSL and domain expiry tracking","Śledzenie wygasania SSL i domeny"
"Refresh","Odśwież"
"Open PingView","Otwórz PingView"
"This store URL differs from the monitored address. Disconnect and reconnect to monitor the current URL.","Adres tego sklepu różni się od monitorowanego. Odłącz i podłącz ponownie, aby monitorować bieżący adres."
"Showing the last known status because PingView could not be reached.","Pokazujemy ostatni znany status, bo nie udało się połączyć z PingView."
"Status is temporarily unavailable.","Status jest chwilowo niedostępny."
"Store health summary","Podsumowanie kondycji sklepu"
"Uptime, 24h","Dostępność, 24 h"
"Uptime, 7d","Dostępność, 7 dni"
"Response time","Czas odpowiedzi"
"Last check","Ostatnie sprawdzenie"
"Monitoring locations","Lokalizacje monitorowania"
"Unknown location","Nieznana lokalizacja"
"Waiting for per-location results.","Czekamy na wyniki z poszczególnych lokalizacji."
"Certificate and domain","Certyfikat i domena"
"SSL certificate","Certyfikat SSL"
"No data yet","Brak danych"
"Plain HTTP","Zwykły HTTP"
"Expired","Wygasł"
"%1 days remaining","Pozostało dni: %1"
"Valid","Ważny"
"Domain registration","Rejestracja domeny"
"Recent incidents","Ostatnie incydenty"
"Incident","Incydent"
"Resolved","Rozwiązany"
"Open","Otwarty"
"Monitoring is ready","Monitoring jest gotowy"
"Results will appear after the first external check completes.","Wyniki pojawią się po pierwszym sprawdzeniu z zewnątrz."
"Connected %1","Podłączono %1"
"Disconnect this store","Odłącz ten sklep"
"Store is operational","Sklep działa poprawnie"
"Performance degraded","Obniżona wydajność"
"Partial outage","Częściowa awaria"
"Store is offline","Sklep jest niedostępny"
"Maintenance","Przerwa techniczna"
"Status unknown","Status nieznany"
"PingView returned incomplete connection data.","PingView zwrócił niekompletne dane połączenia."
"PingView API keys start with pk_live_.","Klucze API PingView zaczynają się od pk_live_."
"Connected. Your store status appears below.","Podłączono. Status sklepu widoczny jest poniżej."
"Disconnected locally. External monitoring continues in PingView.","Odłączono lokalnie. Zewnętrzny monitoring działa dalej w PingView."
"Enter a valid email address.","Podaj poprawny adres e-mail."
"Consent is required to create the PingView connection.","Do utworzenia połączenia z PingView wymagana jest zgoda."
"Monitoring is on. Check your inbox for access to the PingView dashboard.","Monitoring włączony. Sprawdź skrzynkę, aby uzyskać dostęp do panelu PingView."
"Status refreshed.","Status odświeżony."
"That API key is invalid or expired.","Ten klucz API jest nieprawidłowy lub wygasł."
"Could not create a monitor for this store.","Nie udało się utworzyć monitora dla tego sklepu."
"Could not connect to PingView.","Nie udało się połączyć z PingView."
"This creates a PingView account at that address and emails a sign-in link to it. No password to set or remember.","Utworzymy konto PingView na tym adresie i wyślemy na nie link do logowania. Nie musisz ustawiać ani pamiętać hasła."
"That address already has a PingView account, so this store connects with an API key instead. Sign in, copy a write-scoped key, and paste it below. An existing monitor for this domain is reused, not duplicated.","Ten adres ma już konto PingView, więc ten sklep podłączysz kluczem API. Zaloguj się, skopiuj klucz z uprawnieniem do zapisu i wklej go poniżej. Istniejący monitor tej domeny zostanie użyty ponownie, a nie zduplikowany."
"Create or copy one in","Utwórz lub skopiuj go w"
"PingView API keys","Kluczach API PingView"
"Status","Status"
"Needs attention","Wymaga uwagi"
"All clear","Wszystko w porządku"
"Availability","Dostępność"
"Last 24 hours","Ostatnie 24 godziny"
"Last 7 days","Ostatnie 7 dni"
"What is being watched","Co jest monitorowane"
"Uptime check every %1 min","Sprawdzenie dostępności co %1 min"
"Checks run from the external locations in your plan","Sprawdzenia wykonywane są z zewnętrznych lokalizacji dostępnych w Twoim planie"
"SSL certificate expiry","Termin ważności certyfikatu SSL"
"Domain registration expiry","Termin wygaśnięcia rejestracji domeny"
"You are alerted on an outage, on an SSL certificate expiring within 30 days, and on a performance drop over 20 percent.","Otrzymasz alert w razie awarii, gdy certyfikat SSL wygasa w ciągu 30 dni, oraz gdy wydajność spadnie o ponad 20 procent."
"Other pages worth watching","Inne strony warte obserwowania"
"Monitored","Monitorowane"
"Start monitoring the selected pages","Zacznij monitorować zaznaczone strony"
"No other customer facing pages could be found automatically.","Nie udało się automatycznie znaleźć innych stron widocznych dla klientów."
"External observation","Obserwacja zewnętrzna"
"On","Włączona"
"Turn off external observation","Wyłącz obserwację zewnętrzną"
"Where alerts are delivered","Gdzie trafiają alerty"
"Email is on by default. Route incidents to the channel your team already watches, so nobody finds out from a customer.","E-mail jest domyślnie włączony. Skieruj incydenty do kanału, który Twój zespół już obserwuje, aby nikt nie dowiedział się o problemie od klienta."
"Email","E-mail"
"Configure alert channels","Skonfiguruj kanały alertów"
"Set up the weekly summary","Skonfiguruj cotygodniowe podsumowanie"
"Checked from %1 locations","Sprawdzane z %1 lokalizacji"
"Security headers","Nagłówki bezpieczeństwa"
"Quality report","Raport jakości"
"Premium","Premium"
"Performance","Wydajność"
"Accessibility","Ułatwienia dostępu"
"Can customers actually buy?","Czy klienci naprawdę mogą kupować?"
"Product page loads","Strona produktu się ładuje"
"Add to cart works","Dodanie do koszyka działa"
"Checkout reaches payment","Zamówienie dociera do płatności"
"Status badge","Plakietka statusu"
"Status badge preview","Podgląd plakietki statusu"
"Open the status page","Otwórz stronę statusu"
"Create a status page","Utwórz stronę statusu"
"Your PingView account","Twoje konto PingView"
"Account","Konto"
"Team","Zespół"
"Signing in uses a link emailed to the account on file, not a password.","Logowanie odbywa się linkiem wysyłanym na adres przypisany do konta, bez hasła."
"Manage account","Zarządzaj kontem"
"See the full picture","Zobacz pełny obraz sytuacji"
"Full incident history, deep performance and security scans, and a public status page you can share with customers.","Pełna historia incydentów, szczegółowe skanowanie wydajności i bezpieczeństwa oraz publiczna strona statusu, którą możesz udostępnić klientom."
"Select at least one page to monitor.","Zaznacz co najmniej jedną stronę do monitorowania."
"%1 pages are now monitored.","%1 stron jest teraz monitorowanych."
"PingView returned incomplete monitor data.","PingView zwrócił niekompletne dane monitora."
"The stored API key can no longer be read. Disconnect and connect again.","Nie można już odczytać zapisanego klucza API. Rozłącz i połącz ponownie."
